"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FNBP1",1.50745182702509e-20,0.811396761480595,0.385,0.29,3.63522008087101e-16,"3","FNBP1"
"DST1",3.6115287508708e-20,0.457033920025463,0.634,0.575,8.70920158272493e-16,"3","DST"
"RNF130",5.93124609840105e-20,0.89882355294642,0.391,0.308,1.43031999662941e-15,"3","RNF130"
"GARNL3",9.9608400413928e-20,0.861945891760141,0.291,0.196,2.40205657598187e-15,"3","GARNL3"
"CDC42BPA1",1.28368301372743e-19,0.711485516659402,0.489,0.422,3.0956015876037e-15,"3","CDC42BPA"
"AGTPBP1",1.39759682731341e-19,0.819072608779012,0.252,0.158,3.3703047490663e-15,"3","AGTPBP1"
"PHIP1",2.13040351466765e-19,0.748119364957015,0.354,0.256,5.13746807562104e-15,"3","PHIP"
"RTN3",8.93339461682863e-19,0.748867822098933,0.34,0.245,2.15428811184822e-14,"3","RTN3"
"SERPINA3",1.40042928484639e-18,0.368399016939967,0.263,0.157,3.37713522040708e-14,"3","SERPINA3"
"KCTD8",3.33203646243724e-18,0.792460386720473,0.462,0.387,8.03520592916741e-14,"3","KCTD8"
"RBFOX21",4.2342856018187e-18,0.769041249453562,0.394,0.31,1.02109797287858e-13,"3","RBFOX2"
"CORO2B",4.58735360935263e-18,0.788471451857524,0.262,0.169,1.10624032289539e-13,"3","CORO2B"
"CPE",1.358620965892e-17,0.754148338413423,0.345,0.249,3.27631445924855e-13,"3","CPE"
"HMGB1",1.44116380828684e-17,0.629430704155938,0.298,0.2,3.47536652368371e-13,"3","HMGB1"
"ARHGAP26",7.49134901718367e-16,0.590386293379748,0.375,0.289,1.80653881549384e-11,"3","ARHGAP26"
"CLIP11",7.96753255539481e-16,0.738060212502434,0.39,0.31,1.92137047573346e-11,"3","CLIP1"
"ZFYVE281",1.65614495455759e-15,0.692520841246947,0.405,0.33,3.99379355791564e-11,"3","ZFYVE28"
"UBE2E21",8.95140156502305e-15,0.65682280843484,0.414,0.342,2.15863048740531e-10,"3","UBE2E2"
