"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ANKRD44.1",6.33163842967389e-06,-0.659241056975082,0.615,0.651,0.176931304278807,"4","ANKRD44"
"RSRC1",7.26092634495303e-06,0.358327861814236,0.427,0.196,0.202899325783368,"4","RSRC1"
"INSYN2B",7.34823991729613e-06,0.357824807596455,0.292,0.12,0.205339216248923,"4","INSYN2B"
"ETS1.2",7.57351034345246e-06,-0.980899301923446,0.438,0.53,0.211634173037436,"4","ETS1"
"KHDRBS1",8.25980566591017e-06,0.363428583191819,0.292,0.121,0.230812009528194,"4","KHDRBS1"
"ASAP1.1",8.28924175699801e-06,0.378439290790477,0.521,0.25,0.231634571657552,"4","ASAP1"
"SDCCAG8",8.36267307029068e-06,0.50142669972399,0.25,0.1,0.233686536276203,"4","SDCCAG8"
"PDS5B",9.71147478735946e-06,0.268623126681197,0.458,0.211,0.271377451457973,"4","PDS5B"
"ATP8A1.3",1.0108167761322e-05,0.39721267079719,0.719,0.364,0.282462639922382,"4","ATP8A1"
"NT5DC1",1.0148011849071e-05,0.284046910861115,0.25,0.097,0.283576043110441,"4","NT5DC1"
"CNOT1",1.09027407760106e-05,0.273104834169449,0.365,0.161,0.304666188244841,"4","CNOT1"
"ACTR3",1.09557271491569e-05,0.400355971795252,0.49,0.24,0.306146839456039,"4","ACTR3"
"SAMD3.4",1.12202870254182e-05,-1.69271228856708,0.135,0.313,0.313539700638286,"4","SAMD3"
"SLCO3A1.2",1.12946415971658e-05,0.290337702952538,0.469,0.217,0.3156174647912,"4","SLCO3A1"
"MT-ATP8",1.3050553151608e-05,0.313930772612361,0.26,0.105,0.364684657268534,"4","MT-ATP8"
"RC3H2",1.36087908251609e-05,0.325544079684922,0.323,0.14,0.380284050818297,"4","RC3H2"
"ITFG1",1.51914758961614e-05,0.308801987995721,0.51,0.248,0.424510602442334,"4","ITFG1"
"NPEPPS",1.61095498873465e-05,0.369409975898847,0.292,0.125,0.450165262052012,"4","NPEPPS"
"ARPC2",1.73137971654238e-05,0.269797525062506,0.448,0.211,0.483816747990603,"4","ARPC2"
"GMDS",1.85996993320112e-05,0.376534233081451,0.49,0.242,0.51974999813372,"4","GMDS"
"HNRNPR",1.90111868134658e-05,0.332436830596609,0.292,0.125,0.531248604315489,"4","HNRNPR"
"NLRC5.2",2.15476314658465e-05,-1.73930759917172,0.073,0.25,0.602127013681616,"4","NLRC5"
"ZC3HAV1.3",2.20831290734529e-05,-1.63602495518704,0.208,0.359,0.617090958828568,"4","ZC3HAV1"
"TRANK1",2.27148157963312e-05,0.488638044921657,0.271,0.117,0.63474281261268,"4","TRANK1"
"CDC14A.3",2.37499582685661e-05,-1.75339802321122,0.135,0.303,0.663668833856812,"4","CDC14A"
"FBXO11",2.38275788485615e-05,0.330112418788094,0.531,0.262,0.665837863344202,"4","FBXO11"
"LINC01934.4",2.40477445163761e-05,-1.64766543544926,0.073,0.254,0.671990172765614,"4","LINC01934"
"SCFD2",2.55680460018207e-05,0.266364610909892,0.333,0.149,0.714473477474879,"4","SCFD2"
