"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC38A103",2.1495939776526e-07,0.897475046381068,0.446,0.201,0.00436496553102138,"14","SLC38A10"
"ECI12",2.16766585293544e-07,0.960714494214444,0.326,0.127,0.00440166228097071,"14","ECI1"
"PIGS2",2.28488913213998e-07,0.706042686419429,0.283,0.102,0.00463969587172345,"14","PIGS"
"NDUFA92",2.31108518789666e-07,0.887963203932409,0.413,0.185,0.00469288958254296,"14","NDUFA9"
"LSP14",2.31794518670917e-07,0.626356294853214,0.826,0.755,0.00470681949613164,"14","LSP1"
"RIOK1",2.33815645162678e-07,1.38192261799704,0.272,0.101,0.00474786049067333,"14","RIOK1"
"MOB1A6",2.4059435525495e-07,0.644438687988702,0.707,0.416,0.00488550897780702,"14","MOB1A"
"FBH1",2.42976553273094e-07,0.626508225632111,0.304,0.112,0.00493388189076345,"14","FBH1"
"PSMD15",2.47693491773561e-07,0.685819538908413,0.424,0.183,0.00502966404395393,"14","PSMD1"
"TMEM2193",2.48122351094061e-07,0.505934432475714,0.707,0.356,0.005038372461316,"14","TMEM219"
"USP14",2.49701619014803e-07,0.612926378261788,0.457,0.198,0.00507044107571458,"14","USP14"
"ATP5F1C3",2.49909494187023e-07,0.801270259094828,0.674,0.384,0.00507466218896169,"14","ATP5F1C"
"NKIRAS21",2.51560715293529e-07,1.05284167965632,0.25,0.089,0.00510819188475041,"14","NKIRAS2"
"ATG13",2.55614375712383e-07,0.521981212254519,0.391,0.164,0.00519050551321565,"14","ATG13"
"APAF13",2.6116722827779e-07,0.878027342990957,0.326,0.127,0.0053032617374088,"14","APAF1"
"ISY1",2.62157493060309e-07,0.715942336763044,0.391,0.164,0.00532337005408264,"14","ISY1"
"TMCO12",2.76966861314961e-07,0.413420192383639,0.478,0.208,0.00562408908586161,"14","TMCO1"
"UHRF21",2.92032959589214e-07,0.407817858075827,0.457,0.194,0.00593002127741859,"14","UHRF2"
"XIST3",2.9272995910687e-07,0.998248869142793,0.446,0.201,0.00594417454962411,"14","XIST"
"PAN34",2.94610099284441e-07,0.611095959395482,0.728,0.414,0.00598235267606986,"14","PAN3"
"IL163",3.15032887601828e-07,0.935907045688273,0.663,0.383,0.00639705781564272,"14","IL16"
"MYO15B3",3.1691017854411e-07,1.99468110499299,0.25,0.093,0.00643517808551669,"14","MYO15B"
"JMJD1C5",3.18155556061542e-07,0.681512412122406,0.913,0.569,0.00646046672138568,"14","JMJD1C"
"TMEM1313",3.21377126308184e-07,0.796068961196401,0.598,0.305,0.00652588392681399,"14","TMEM131"
"AP3M1",3.21515506572002e-07,0.911446606216346,0.272,0.099,0.00652869387645108,"14","AP3M1"
"CHMP51",3.26406086806981e-07,0.69649096393016,0.348,0.139,0.00662800199870256,"14","CHMP5"
"SYVN1",3.26632534486461e-07,0.77387692669399,0.272,0.098,0.00663260024528207,"14","SYVN1"
"ORMDL2",3.26719712117474e-07,0.709285947320559,0.261,0.091,0.00663437047425743,"14","ORMDL2"
"HMGXB3",3.26977081334564e-07,0.835465506062918,0.348,0.138,0.00663959661357966,"14","HMGXB3"
"C18orf323",3.35721091400677e-07,0.541339069110589,0.522,0.236,0.00681715248198215,"14","C18orf32"
"RAP2A1",3.4418262417422e-07,1.03312387110898,0.25,0.089,0.00698897236648171,"14","RAP2A"
"SEC23A",3.52318544945991e-07,0.75818784845272,0.326,0.128,0.00715418037367329,"14","SEC23A"
"NUFIP23",3.55288775807043e-07,0.665557129438821,0.62,0.317,0.00721449388153781,"14","NUFIP2"
"RCOR31",3.60514471415129e-07,0.76289307598785,0.435,0.188,0.00732060685655561,"14","RCOR3"
"CLINT14",3.73263020696954e-07,0.580314375989931,0.62,0.318,0.00757947889827234,"14","CLINT1"
"NDUFAB16",3.77394948070702e-07,0.664231168107503,0.533,0.258,0.00766338181552367,"14","NDUFAB1"
"VCL3",3.93238045462845e-07,0.367918935138169,0.489,0.236,0.00798509175116854,"14","VCL"
"FOXN24",4.04490784778317e-07,0.373438106370447,0.554,0.252,0.0082135898757085,"14","FOXN2"
"FAM53B6",4.05407679304032e-07,0.880496700794285,0.446,0.209,0.00823220833594767,"14","FAM53B"
"SP1103",4.13157785446452e-07,0.551056628280225,0.728,0.407,0.00838958199127565,"14","SP110"
"VRK24",4.14287894731329e-07,0.533187092229021,0.413,0.179,0.00841252999041436,"14","VRK2"
"RANBP24",4.21206036495608e-07,0.757847381259881,0.717,0.42,0.00855300977707982,"14","RANBP2"
"POLR2A3",4.35612652984957e-07,0.683107505451768,0.652,0.364,0.00884555053151253,"14","POLR2A"
"BICD23",4.41726837134908e-07,0.532248968608787,0.337,0.135,0.00896970515486144,"14","BICD2"
"PSMA23",4.47999919924945e-07,0.652232588896299,0.598,0.298,0.00909708637399594,"14","PSMA2"
"RAB1B3",4.48963632334458e-07,0.57291198297194,0.554,0.269,0.00911665551818351,"14","RAB1B"
"KRI1",4.51435572719436e-07,1.4043727065799,0.348,0.144,0.00916685073964088,"14","KRI1"
"EIPR1",4.64084056783248e-07,0.657033251596917,0.272,0.099,0.00942369085704063,"14","EIPR1"
"DCAF13",4.84202046125599e-07,0.939380327094501,0.283,0.106,0.00983220674862641,"14","DCAF13"
"ME23",4.86706084381681e-07,0.615383092866641,0.413,0.181,0.00988305374945442,"14","ME2"
"TAPBP4",4.97364550128045e-07,0.518079214128728,0.815,0.532,0.0100994845549001,"14","TAPBP"
"ATP2C1",4.98894270644107e-07,0.528285987583011,0.348,0.141,0.0101305470596992,"14","ATP2C1"
"NDUFB53",5.166063547511e-07,0.723620514309162,0.435,0.19,0.0104902086395758,"14","NDUFB5"
"UFM11",5.20548561456159e-07,0.639629320084675,0.609,0.301,0.0105702590889288,"14","UFM1"
"MAT2A3",5.24526276217005e-07,0.764456039915569,0.457,0.208,0.0106510305648625,"14","MAT2A"
"ADK3",5.2845889397867e-07,0.719171107877295,0.739,0.392,0.0107308863011309,"14","ADK"
"CTBS1",5.42503360197623e-07,0.74771018032157,0.359,0.15,0.0110160732321729,"14","CTBS"
"GORASP23",5.46330499416131e-07,0.764528516211864,0.467,0.216,0.0110937871211439,"14","GORASP2"
"ZMYM61",5.49592352914447e-07,1.06037105151415,0.315,0.126,0.0111600223182808,"14","ZMYM6"
"SCAMP3",5.49651951034221e-07,0.718287135398836,0.391,0.166,0.0111612325177009,"14","SCAMP3"
"TMEM14B4",5.61105546199363e-07,0.857781444964055,0.609,0.323,0.0113938092211243,"14","TMEM14B"
"SMG71",5.61213740279748e-07,0.837059162744936,0.457,0.21,0.0113960062101206,"14","SMG7"
"C1orf433",5.64665862510618e-07,0.633364882842308,0.543,0.264,0.0114661050041406,"14","C1orf43"
"IDS4",5.82794352706898e-07,0.612843704945545,0.804,0.524,0.0118342221260663,"14","IDS"
"PPA21",5.83712253704452e-07,0.477977421907334,0.457,0.207,0.0118528610237226,"14","PPA2"
"OSBPL92",5.89990315121926e-07,0.688896804743112,0.587,0.274,0.0119803433388658,"14","OSBPL9"
"NDUFS33",6.10374998077106e-07,0.615620974493769,0.413,0.175,0.0123942747109537,"14","NDUFS3"
"COPB22",6.18172367568866e-07,0.500470285261946,0.348,0.139,0.0125526080958534,"14","COPB2"
"UBE2K2",6.21994135395731e-07,0.679333957395953,0.533,0.254,0.0126302129133457,"14","UBE2K"
"CEP68",6.24934495397539e-07,0.587115373765577,0.283,0.106,0.0126899198635424,"14","CEP68"
"SLC35E2B",6.2826409184917e-07,0.663058307923515,0.326,0.13,0.0127575306490893,"14","SLC35E2B"
"PPID",6.4021339815017e-07,0.630611860717825,0.293,0.11,0.0130001732628374,"14","PPID"
"SNX52",6.46998607714323e-07,0.828138861062261,0.435,0.196,0.013137953728247,"14","SNX5"
"RNF72",6.48627753583004e-07,0.513424024038802,0.652,0.333,0.0131710351642565,"14","RNF7"
"COX6A15",6.72433701780471e-07,0.549816264692628,0.826,0.598,0.0136544387483542,"14","COX6A1"
"SLC35D1",6.83020823421813e-07,0.56071457052163,0.293,0.111,0.0138694208404033,"14","SLC35D1"
