"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KIAA0319",5.27786966844428e-22,0.794214418550129,0.32,0.309,1.39034920675828e-17,"1","KIAA0319"
"HIF1A",2.02752708129609e-21,0.620218135562353,0.29,0.266,5.34111459025829e-17,"1","HIF1A"
"KIF21A",3.49759916579295e-21,0.575228084577643,0.427,0.452,9.21372548244837e-17,"1","KIF21A"
"PELI2",1.68178575557476e-20,0.516587478472651,0.262,0.224,4.43032821591058e-16,"1","PELI2"
"CTBP21",2.09991922068191e-20,0.511770168867981,0.299,0.265,5.53181720304236e-16,"1","CTBP2"
"PLPP11",2.9747525929812e-20,0.585446555470364,0.384,0.388,7.83639075569039e-16,"1","PLPP1"
"ECE1",5.54504895579941e-20,0.650430728762937,0.257,0.227,1.46073224642624e-15,"1","ECE1"
"ESRRG",7.28683394123329e-20,0.487632406172449,0.44,0.437,1.91957066513909e-15,"1","ESRRG"
"PDE3B",8.16204879512133e-20,0.635742165360444,0.316,0.3,2.15012851409881e-15,"1","PDE3B"
"SPIRE1",1.27350441904071e-19,0.601601024726074,0.458,0.499,3.35479269107893e-15,"1","SPIRE1"
"AKAP8L",1.35881708095435e-19,0.301163876114114,0.252,0.382,3.57953183635805e-15,"1","AKAP8L"
"SIRPA",2.82401466749174e-19,0.669125382739883,0.357,0.362,7.4393018385735e-15,"1","SIRPA"
"IFT43",9.70032707289214e-19,0.273137364734592,0.178,0.273,2.55535716081198e-14,"1","IFT43"
"UBAC2",1.89122911637977e-18,0.251125180378337,0.259,0.385,4.98206486127922e-14,"1","UBAC2"
"GALNT2",1.05282362738986e-17,0.547738071912262,0.318,0.303,2.77345328163311e-13,"1","GALNT2"
"POU2F1",1.35396298877369e-17,0.534514929733804,0.473,0.527,3.56674470132652e-13,"1","POU2F1"
"GMDS-DT",2.29132984323275e-17,0.583889681305392,0.335,0.325,6.03605020602805e-13,"1","GMDS-DT"
"PIK3C2A",4.77803077265891e-17,0.624417091494144,0.296,0.283,1.25867664644154e-12,"1","PIK3C2A"
"GBF1",8.39219055386229e-17,0.272376543640634,0.237,0.35,2.21075475760394e-12,"1","GBF1"
"GAPDH",1.65106412748487e-16,0.252720287117407,0.27,0.395,4.34939823103338e-12,"1","GAPDH"
"MXI11",1.90440222369212e-16,0.492604218753152,0.417,0.435,5.01676677787216e-12,"1","MXI1"
"CRADD1",2.2146899215748e-16,0.388039957053147,0.39,0.376,5.8341576604045e-12,"1","CRADD"
"C20orf194",2.70273462100769e-16,0.529376295914664,0.485,0.542,7.11981381212055e-12,"1","C20orf194"
