"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZBTB48",0.0671318610026961,0.277072213087809,1.58096851689833,0.175254731594144,0.860879480145846,0.987661108975073
"KLHL21",0.154296125120392,-0.498926883580679,2.03524509074126,-0.245143391255627,0.806345406345097,0.987661108975073
"PHF13",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"THAP3",0.100106646657113,0.280230015192547,1.79066450571779,0.156494985128561,0.875642871831415,0.987661108975073
"DNAJC11",0.671305978503001,1.21457557452543,1.97618490612097,0.614606239913808,0.538814792554434,0.987661108975073
"CAMTA1",3.73518076031476,-0.143731860718834,0.619535844410325,-0.231999265281637,0.816538584456457,0.987661108975073
"PER3",0.275917016531087,-0.158838311211965,2.12443048528478,-0.074767478772398,0.940399717547008,0.987661108975073
"PARK7",0.167238507659809,1.08567006509215,2.06292304414022,0.526277540103115,0.598695385822845,0.987661108975073
"AL034417.4",0.0435821320588478,-0.914110630381878,1.4522369053415,-0.629450075961897,0.529054443121997,0.987661108975073
"ERRFI1",1.02408737417947,1.68884878401683,1.22827625868483,1.37497470302418,0.169139287522133,0.987661108975073
"SLC45A1",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"RERE",11.5523252424713,0.239278393451976,0.426403286723213,0.561155133889238,0.574691785560485,0.987661108975073
"ENO1",0.435458490238478,0.879649448605664,1.94003450754547,0.453419485676363,0.65024670785424,0.987661108975073
"GPR157",0.113654748061686,0.895108281595376,1.75220441713685,0.510846949614479,0.609458230853502,0.987661108975073
"MIR34AHG",0.424340848435697,-1.04894386242902,2.10392671845901,-0.49856482796003,0.618085988395836,0.987661108975073
"LNCTAM34A",0.0704779285041025,-0.949837899931022,1.59472650036181,-0.595611786544917,0.551434600875986,0.987661108975073
"H6PD",0.376648935927596,1.51411411916788,2.32840323694368,0.650280026734261,0.515511356284641,0.987661108975073
"SPSB1",0.573296201502284,0.831554787091689,1.78460304930301,0.465960644534625,0.641243671035525,0.987661108975073
"SLC25A33",1.58737846491958,0.651162306065978,0.982043174832091,0.663068918713593,0.507286415726029,0.987661108975073
"TMEM201",0.204165079680788,-0.882237637452894,2.12549035723688,-0.415074871757967,0.678087093961825,0.987661108975073
"PIK3CD",0.612622754681565,-1.49564365114461,2.07290831373466,-0.721519442627917,0.470589982806566,0.987661108975073
"CLSTN1",1.48194117136475,-1.03071731268258,0.99076869927556,-1.04032082708732,0.298190871185653,0.987661108975073
"CTNNBIP1",0.471551421637293,-0.0430074525170527,2.11885400795462,-0.0202975062725387,0.983806045084546,0.997484049977103
"NMNAT1",0.873266623730543,0.257125515930851,1.48029600557114,0.173698716312921,0.862102246423265,0.987661108975073
"RBP7",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"UBE4B",2.25727762984962,-0.219914061255986,0.747043750047767,-0.294379092579148,0.76846824119244,0.987661108975073
"KIF1B",3.09017686484867,0.214131492334878,0.679173640446276,0.315282395521379,0.752547250247226,0.987661108975073
"PGD",0.308194364668014,0.09825486996879,2.35476614264323,0.0417259566414942,0.966717161569059,0.992412464780661
