"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NHP2",0.618781425546322,-0.13619820045956,1.83060246344503,-0.0744007523092954,0.940691510207911,0.99961583089597
"SYT7",0.618781425546322,-0.13619820045956,1.83060246344503,-0.0744007523092954,0.940691510207911,0.99961583089597
"PIAS2",4.61704963983678,-0.136206565028464,0.921637003767211,-0.147787647926154,0.882510357815956,0.99961583089597
"ANKRD52",2.05125433203092,-0.136460366179155,1.35547194862338,-0.100673692522921,0.919809495575766,0.99961583089597
"SLC8B1",1.12765128376971,-0.136599762221915,1.58032511850129,-0.0864377593083255,0.93111843165261,0.99961583089597
"ZNF740",0.584574182223106,-0.13680754823133,1.98092937696651,-0.0690623047050927,0.944940025843856,0.99961583089597
"DTD2",0.584574182223106,-0.13680754823133,1.98092937696651,-0.0690623047050927,0.944940025843856,0.99961583089597
"MAPRE3",2.66412830638569,-0.136836457582224,1.16337650429554,-0.117620097257408,0.906368680173887,0.99961583089597
"DLD",1.5175120652297,-0.137065774686891,1.22055462703167,-0.112297943616197,0.910587172247884,0.99961583089597
"SCLT1",4.47835328867992,-0.137177024029946,0.796841285593151,-0.172150999841625,0.863318819128748,0.99961583089597
"ERAP2",0.818474491931984,-0.137321640070658,1.64210430255237,-0.0836254066548724,0.933354266096607,0.99961583089597
"DNAJA1",4.61459137847645,-0.137521244378963,1.01741492019498,-0.135167316351728,0.892479587676999,0.99961583089597
"SET",2.25549199779828,-0.137569534658024,1.09225277645914,-0.125950272338969,0.899771287923015,0.99961583089597
"B4GALT6",1.19715257787968,-0.13761636693088,1.50090696095615,-0.091688805842576,0.926945291569292,0.99961583089597
"UACA",15.174143993738,-0.137782676005151,0.532425298354369,-0.258783112731519,0.795802588236339,0.99961583089597
"MRPL44",0.507038938750034,-0.138117254728638,2.06582013775045,-0.0668583155932632,0.946694498086244,0.99961583089597
"RAB31",3.67285350810412,-0.138269626173989,0.957978884301012,-0.144334732675112,0.885236152737915,0.99961583089597
"DLG3",1.93080669573339,-0.138301067298498,1.35068492032802,-0.102393285967027,0.918444512685605,0.99961583089597
"INPP5K",0.747087364268987,-0.138477665601898,1.62685980241703,-0.0851196061247323,0.932166303439737,0.99961583089597
"RPS5",3.97045526332186,-0.13863783803786,0.947808849784053,-0.146271938766395,0.883706717195937,0.99961583089597
"NPAT",0.943266028445328,-0.138836215366192,1.79702318765184,-0.0772590005071709,0.938417506234211,0.99961583089597
"KMT2E",19.2054207116104,-0.138885126302638,0.520865299173731,-0.266643077438555,0.789743985015157,0.99961583089597
"GMEB1",1.12438365548423,-0.139156072948299,1.44040482252268,-0.0966090023946078,0.923036907063094,0.99961583089597
"MFSD14C",6.76277420721981,-0.139689076898754,0.805243542163419,-0.173474321226416,0.862278610554077,0.99961583089597
"SLC25A26",3.05857125640901,-0.13998258025965,0.977112202146946,-0.143261520992241,0.886083644106145,0.99961583089597
"KDM6A",13.6216019886357,-0.140171070927461,0.693695114455333,-0.202064376707509,0.839866396661669,0.99961583089597
"SMYD5",0.416644217763299,-0.140254158200178,2.10546429756696,-0.0666143607195114,0.946888712940037,0.99961583089597
"GABRA1",0.416644217763299,-0.140254158200178,2.10546429756696,-0.0666143607195114,0.946888712940037,0.99961583089597
"ZFPL1",0.416644217763299,-0.140254158200178,2.10546429756696,-0.0666143607195114,0.946888712940037,0.99961583089597
"AC012404.1",0.416644217763299,-0.140254158200178,2.10546429756696,-0.0666143607195114,0.946888712940037,0.99961583089597
"SLC7A6OS",0.416644217763299,-0.140254158200178,2.10546429756696,-0.0666143607195114,0.946888712940037,0.99961583089597
